transaction_id,customer_name,customer_email,transaction_date,transaction_time,amount,transaction_type,merchant,location,starting_balance,ending_balance,is_fraud,day_of_week,hour,amount_category
TXN-000074,Rachel Harris DVM,brendali@example.org,2026-05-18,00:51:03,26.13,PURCHASE,Kramer PLC,West Micheleberg,411.3,385.17,0,Monday,0,Micro
TXN-000075,Ms. Rebecca Rodriguez,andersonmichael@example.org,2026-06-13,09:12:12,151.71,WITHDRAWAL,Thompson Inc,Lake Robert,4653.98,4502.2699999999995,0,Saturday,9,Small
TXN-000076,Arthur West,william17@example.net,2026-05-08,13:31:27,115.64,WITHDRAWAL,Acosta Ltd,Stephentown,5012.41,4896.7699999999995,0,Friday,13,Small
TXN-000077,John Morales,henryrenee@example.org,2026-07-13,01:23:58,45.6,TRANSFER,Franklin-Jones,Claudiashire,4223.34,4177.74,0,Monday,1,Micro
TXN-000078,Erika Vang,shawn96@example.org,2026-07-03,19:43:44,120.67,PURCHASE,Farrell Ltd,South Shannon,1020.93,900.26,0,Friday,19,Small
TXN-000079,Gerald Chavez,ublair@example.com,2026-05-17,08:17:48,581.6,DEPOSIT,Brooks-Hernandez,Jonesland,6067.79,6649.39,0,Sunday,8,Medium
TXN-000080,Brent Rodgers,angelawillis@example.net,2026-06-10,09:29:07,27.35,PAYMENT,"Martinez, Gomez and Ortega",Parrishton,7981.09,8008.4400000000005,0,Wednesday,9,Micro
TXN-000081,Lindsay Bell,ericolson@example.org,2026-05-20,01:16:48,33.96,TRANSFER,Wilson-Ramirez,Port Roy,9707.24,9673.28,0,Wednesday,1,Micro
TXN-000082,Patricia Howell,lynchdiane@example.net,2026-05-12,15:14:51,286.75,PAYMENT,Nelson LLC,Michaelburgh,870.42,1157.17,0,Tuesday,15,Medium
TXN-000083,Kylie Morales,joycebonilla@example.org,2026-06-28,05:14:56,235.89,PAYMENT,Bennett Group,Ericport,5536.8,5772.6900000000005,0,Sunday,5,Medium
TXN-000084,Paula Bradley,wareeric@example.net,2026-04-21,13:59:58,204.81,DEPOSIT,Nelson Ltd,Tuckermouth,51286.84,51491.649999999994,0,Tuesday,13,Medium
TXN-000085,Daniel Hunt,russell49@example.com,2026-06-07,16:04:27,70.43,PAYMENT,Williams-Foster,North Jamesborough,962.37,1032.8,0,Sunday,16,Small
TXN-000086,Pamela Roberts,smithjulie@example.org,2026-04-29,02:34:27,36.98,TRANSFER,"Padilla, Mason and Whitaker",Charleston,876.8,839.8199999999999,0,Wednesday,2,Micro
TXN-000087,Joe Miller,barbara96@example.net,2026-06-18,20:09:07,83.34,DEPOSIT,Wilson-Smith,Georgemouth,4972.75,5056.09,0,Thursday,20,Small
TXN-000088,Tamara Davis,sanchezbrianna@example.net,2026-04-24,20:01:41,118.71,WITHDRAWAL,Reese-Walker,North William,10309.02,10190.310000000001,0,Friday,20,Small
TXN-000089,Jordan Bullock,michael23@example.org,2026-05-01,02:59:33,91.2,PAYMENT,Thompson and Sons,East Stephaniefort,26378.41,26469.61,0,Friday,2,Small
TXN-000090,Justin Riley,michelle52@example.com,2026-04-23,02:19:23,69.09,TRANSFER,Welch-Hogan,West Williamport,100000.0,99930.91,0,Thursday,2,Small
TXN-000091,Andrew Wood,chase19@example.net,2026-06-05,08:43:58,168.29,WITHDRAWAL,Carpenter-Best,South Reginashire,824.08,655.7900000000001,0,Friday,8,Small
TXN-000092,Erica Alvarez,susanhayes@example.com,2026-06-25,00:17:05,30.85,PAYMENT,"Lucas, Williams and Zimmerman",Warrenburgh,6146.93,6177.780000000001,0,Thursday,0,Micro
TXN-000093,Thomas Hughes,erika05@example.org,2026-05-19,22:59:29,100.0,TRANSFER,"FRAUD_Thomas, Bailey and Ponce",West Christopher,8699.33,8627.34,1,Tuesday,22,Small
TXN-000094,Jenna Larson,collinsnicholas@example.com,2026-07-04,07:56:50,144.49,PURCHASE,"Warner, Valentine and Osborn",Lake Ellenhaven,2672.47,2527.9799999999996,0,Saturday,7,Small
TXN-000095,Jack White,matthewmiranda@example.org,2026-05-08,04:55:58,38.6,WITHDRAWAL,Jones Inc,Lake Matthewberg,307.27,268.66999999999996,0,Friday,4,Micro
TXN-000096,Brittany White,jenniferwilliams@example.com,2026-06-21,09:34:28,57.6,TRANSFER,Montes PLC,Karenmouth,10770.84,10713.24,0,Sunday,9,Small
TXN-000097,David Sheppard,mmckee@example.com,2026-06-21,20:25:16,111.51,DEPOSIT,Murray-Campbell,Shawchester,460.08,571.59,0,Sunday,20,Small
TXN-000098,Ruth Solis,moniquewilliams@example.com,2026-07-10,12:38:42,107.04,TRANSFER,"Villa, Dawson and Black",West Christopherburgh,5313.34,5206.3,0,Friday,12,Small
TXN-000099,Taylor Hernandez,odavis@example.com,2026-07-11,23:37:06,37.19,PAYMENT,Perry Group,Joeland,3754.04,3791.23,0,Saturday,23,Micro
TXN-000100,Alfred Galvan,lacey20@example.com,2026-07-15,20:03:58,95.41,TRANSFER,Horton-Taylor,Westtown,536.76,441.35,0,Wednesday,20,Small
TXN-000101,Alicia Lewis,anaacosta@example.net,2026-05-28,13:32:43,128.74,DEPOSIT,Young-Martinez,South Danielle,6913.12,7041.86,0,Thursday,13,Small
TXN-000102,Amy Copeland,bcarlson@example.net,2026-06-06,21:10:23,265.88,PURCHASE,Higgins LLC,Smithstad,14482.6,14216.720000000001,0,Saturday,21,Medium
TXN-000103,Jason Beck,millsmichael@example.net,2026-06-08,16:45:35,22.7,WITHDRAWAL,"Spencer, Myers and Harrison",Zavalaview,730.16,707.4599999999999,0,Monday,16,Micro
TXN-000104,Heather Jones,jessicafuller@example.net,2026-06-27,08:33:41,150.66,DEPOSIT,Anderson-Bell,Lisaburgh,6442.54,6593.2,0,Saturday,8,Small
TXN-000105,Melinda Pollard,zwelch@example.org,2026-04-23,09:30:49,150.66,PURCHASE,Johnson-Harris,North Leslie,100000.0,99849.34,0,Thursday,9,Small
TXN-000106,James Ochoa,wking@example.net,2026-05-05,07:47:50,159.32,PURCHASE,Atkins-Williams,Joshuastad,16372.34,16213.02,0,Tuesday,7,Small
TXN-000107,James Gonzales,lmorgan@example.com,2026-06-23,00:15:45,233.69,WITHDRAWAL,Glass-Stone,Lake Rogerchester,7919.53,7685.84,0,Tuesday,0,Medium
TXN-000108,Samantha Gardner,curtis54@example.com,2026-05-30,05:48:14,65.68,PURCHASE,"Simmons, Norris and Bell",Lake Mollystad,9306.36,9240.68,0,Saturday,5,Small
TXN-000109,Jessica Fowler,jonesdana@example.com,2026-06-05,08:21:51,41.56,TRANSFER,"Shelton, Cisneros and Thomas",Johnsonland,2089.69,2048.13,0,Friday,8,Micro
TXN-000110,Matthew Cox,jacobserika@example.com,2026-05-23,04:05:58,55.4,TRANSFER,Berry PLC,Raymondview,3370.48,3315.08,0,Saturday,4,Small
TXN-000111,Brian Fitzgerald,jholmes@example.org,2026-05-12,20:19:14,911.11,WITHDRAWAL,Padilla-Lewis,Heatherfort,181.11,-730.0,0,Tuesday,20,Medium
TXN-000112,Chad Jones,rachelwallace@example.org,2026-07-04,10:38:48,178.8,PURCHASE,Contreras-Mckinney,Patriciaburgh,265.32,86.51999999999998,0,Saturday,10,Small
TXN-000113,Tammy Little,william13@example.org,2026-05-09,19:53:41,56.15,PAYMENT,Johnson-Spencer,Tannerside,15266.65,15322.8,0,Saturday,19,Small
TXN-000114,Stephen Jones,ukey@example.com,2026-06-07,08:50:01,95.99,PAYMENT,Morrow-Jones,Dawnmouth,591.93,687.92,0,Sunday,8,Small
TXN-000115,Joseph Anderson,katrinaanderson@example.net,2026-07-14,07:03:08,44.02,PURCHASE,Holmes LLC,East Marcus,8261.79,8217.77,0,Tuesday,7,Micro
TXN-000116,Hannah Everett,meghan43@example.net,2026-06-09,12:25:06,43.36,TRANSFER,Weber PLC,New Danielleshire,4124.45,4081.0899999999997,0,Tuesday,12,Micro
TXN-000117,Brittany Hopkins,megan90@example.org,2026-04-24,23:01:16,94.21,DEPOSIT,"Wise, Baker and Clark",Montgomerytown,1121.7,1215.91,0,Friday,23,Small
TXN-000118,Mr. Dylan Frye MD,eevans@example.net,2026-04-22,02:39:40,768.12,DEPOSIT,Perry-Marshall,Catherinemouth,7714.67,8482.79,0,Wednesday,2,Medium
TXN-000119,Emma Travis,theresa25@example.net,2026-06-10,05:11:09,11.88,TRANSFER,Allen-Martinez,Wrightville,3942.94,3931.06,0,Wednesday,5,Micro
TXN-000120,Tony Lin,kwright@example.com,2026-06-12,17:51:59,46.44,DEPOSIT,Lee-Moore,Jimenezport,10706.97,10753.41,0,Friday,17,Micro
TXN-000121,Brandon Long MD,jasongomez@example.org,2026-05-14,15:53:28,40.75,DEPOSIT,"Khan, Pena and Ruiz",Port Danielberg,2509.64,2550.39,0,Thursday,15,Micro
TXN-000122,Monica Gallagher,brandon09@example.net,2026-05-05,13:51:16,149.16,PAYMENT,"Roberts, Hughes and Cole",Marciaville,10923.07,11072.23,0,Tuesday,13,Small
TXN-000123,Brent Brooks,angela52@example.org,2026-06-14,07:24:32,27.1,DEPOSIT,Porter-Williams,Lake Mason,1804.88,1831.98,0,Sunday,7,Micro
TXN-000124,Jesus Obrien,markaustin@example.org,2026-05-25,04:51:59,55.98,WITHDRAWAL,"Kirby, Wheeler and Romero",Ericksonport,1118.79,1062.81,0,Monday,4,Small
TXN-000125,Alan Rivera,whitneybrandy@example.net,2026-07-10,10:01:25,526.08,PURCHASE,"Johnson, Wells and Coffey",Lake Brett,5472.4,4946.32,0,Friday,10,Medium
TXN-000126,Mr. Nathan Hampton,rhernandez@example.org,2026-04-20,07:28:02,25.51,PAYMENT,"Rodriguez, Smith and Edwards",South Hannah,11811.07,11836.58,0,Monday,7,Micro
TXN-000127,Reginald Knapp,thorntonapril@example.net,2026-05-18,17:40:28,751.56,WITHDRAWAL,Fox-Edwards,South Rhonda,14026.42,13274.86,0,Monday,17,Medium
TXN-000128,Hector Ingram,chelsea33@example.com,2026-06-10,05:41:14,19.7,PAYMENT,David LLC,Janetfort,1441.8,1461.5,0,Wednesday,5,Micro
TXN-000129,Gregory Peck,keith98@example.com,2026-07-12,03:46:25,319.55,PAYMENT,Blevins-Ballard,Bobbyland,1031.22,1350.77,0,Sunday,3,Medium
TXN-000130,Jeremy Scott,ilewis@example.com,2026-06-10,10:21:24,140.31,PAYMENT,Taylor-Gilbert,East Brent,9527.63,9667.939999999999,0,Wednesday,10,Small
TXN-000131,Courtney Hall,gutierrezjennifer@example.org,2026-06-22,11:51:48,35.63,TRANSFER,Smith PLC,South Denise,2726.33,2690.7,0,Monday,11,Micro
TXN-000132,Karen Santos,manuel01@example.net,2026-06-11,20:44:38,3.52,PURCHASE,"Rodgers, Jefferson and Johnson",South Nicole,641.25,637.73,0,Thursday,20,Micro
TXN-000133,Thomas Osborn,lfrench@example.net,2026-07-10,17:46:34,69.93,TRANSFER,Smith PLC,West Justinside,458.67,388.74,0,Friday,17,Small
TXN-000134,Stacy Anderson,znelson@example.org,2026-05-19,19:36:06,460.55,PAYMENT,"Stevens, Scott and Lopez",Krystalshire,348.9,809.45,0,Tuesday,19,Medium
TXN-000135,Cheryl Carr,gwilcox@example.com,2026-04-25,18:20:47,57.97,PAYMENT,"Davis, Holden and Woods",North Jose,3626.82,3684.79,0,Saturday,18,Small
TXN-000136,Paul Finley,brandi90@example.com,2026-06-19,17:10:32,380.42,PURCHASE,"Young, Contreras and Marshall",South Gina,345.92,-34.5,0,Friday,17,Medium
TXN-000137,Stacy Carrillo,fowlershelia@example.com,2026-06-15,05:42:13,288.06,PAYMENT,Bernard Group,South Julie,3027.07,3315.13,0,Monday,5,Medium
TXN-000138,Jennifer Dunn,ztodd@example.net,2026-07-06,15:36:17,33.73,WITHDRAWAL,Becker PLC,New Seanstad,5961.96,5928.2300000000005,0,Monday,15,Micro
TXN-000139,Justin Brown,ashleyhernandez@example.com,2026-07-08,03:49:08,109.84,TRANSFER,Wilson-Harris,Davishaven,1211.57,1101.73,0,Wednesday,3,Small
TXN-000140,Anthony Anderson,dbryant@example.net,2026-05-31,17:34:15,96.53,WITHDRAWAL,Cummings-Foster,Lake Jefferyland,1672.42,1575.89,0,Sunday,17,Small
TXN-000141,Gregory Brown,michaelcesar@example.com,2026-04-20,16:16:40,100.84,DEPOSIT,White-Taylor,Brooksfurt,8048.14,8148.9800000000005,0,Monday,16,Small
TXN-000142,Thomas Bennett,vegadorothy@example.net,2026-04-29,16:16:20,439.67,WITHDRAWAL,Wilson-Haney,Ricebury,465.58,25.909999999999968,0,Wednesday,16,Medium
TXN-000143,Nicole Good,inunez@example.com,2026-06-07,23:13:33,759.78,PURCHASE,"FRAUD_Cannon, Johnson and Keller",West Jacob,159.47,-600.31,1,Sunday,23,Medium
TXN-000144,Taylor Small,jamiegarcia@example.org,2026-05-30,00:34:43,77.34,PURCHASE,"Warner, Williams and Yang",Gonzalesside,7204.61,7127.2699999999995,0,Saturday,0,Small
TXN-000145,Scott Brown,jim95@example.net,2026-06-14,12:59:28,119.22,TRANSFER,"Cardenas, Young and Walter",South Kevin,1171.4,1052.18,0,Sunday,12,Small
TXN-000146,Travis Hobbs,conniesimmons@example.com,2026-04-21,11:26:47,73.1,TRANSFER,"Powers, Floyd and Flores",Russellport,1422.97,1349.8700000000001,0,Tuesday,11,Small
TXN-000147,Paul Wells,kevinzimmerman@example.com,2026-07-14,06:01:02,49.93,PURCHASE,"Gutierrez, Butler and Moreno",Sanchezborough,10661.59,10611.66,0,Tuesday,6,Micro
TXN-000148,Bob Cole,christopher30@example.com,2026-05-23,04:57:06,128.64,WITHDRAWAL,"Morrison, Russo and Lopez",South Jason,1054.3,925.66,0,Saturday,4,Small
TXN-000149,Elizabeth Stout,sharonhayden@example.org,2026-06-28,23:48:50,221.32,DEPOSIT,Rocha-Dominguez,South Rose,4726.54,4947.86,0,Sunday,23,Medium
TXN-000150,Patricia James,kyle58@example.com,2026-06-01,22:05:58,202.93,WITHDRAWAL,"Harrison, Franco and Rocha",Lawrenceton,7665.18,7462.25,0,Monday,22,Medium
TXN-000151,Connie Thomas,angela99@example.net,2026-05-27,01:03:33,0.0,PAYMENT,FRAUD_Pierce-Harding,Hudsonbury,1286.56,1325.85,1,Wednesday,1,
TXN-000152,Phillip Burns,umurray@example.com,2026-05-03,16:30:45,190.05,PURCHASE,"Payne, White and Preston",New Arthurland,7446.92,7256.87,0,Sunday,16,Small
TXN-000153,Mary Duran,otaylor@example.org,2026-04-23,19:04:45,88.16,TRANSFER,Smith PLC,Brooksfort,3554.58,3466.42,0,Thursday,19,Small
